00000000,none,0.0,0,Genesis
63bf25c7373293350a89a225e5ea8e226b1c46859da0da17800ea494f77bd5cc,252e962acc53a682f514d0d74cd33de5daac3e5ea2d71c56b87b40faf199f961,265.9207217939854,9,0
efa15eccd79aa1ae5a135255692d55b2c0d0b9363ae1190ec4419b7c1b785f1c,63bf25c7373293350a89a225e5ea8e226b1c46859da0da17800ea494f77bd5cc,327.6499495203346,10,0
8b908d594bfd4c4987f89bfbc7ef3ad6ed9728cde8c5a62308ac6d594c340c6d,efa15eccd79aa1ae5a135255692d55b2c0d0b9363ae1190ec4419b7c1b785f1c,372.53939312813816,11,1
361af4665e07d387f054241271fa39ecb498e755267b85be5869a18a818250f8,8b908d594bfd4c4987f89bfbc7ef3ad6ed9728cde8c5a62308ac6d594c340c6d,496.95329201945276,12,1
84ed6c1ad548b677f5f5aa25ca9dfb0b894643d525494d3c0e1c5101d12e0b43,8b908d594bfd4c4987f89bfbc7ef3ad6ed9728cde8c5a62308ac6d594c340c6d,377.8095791189001,12,0
5956874bd4e54656f962e60ac70c613069dc8f1274e444c703a72178600ce3c5,84ed6c1ad548b677f5f5aa25ca9dfb0b894643d525494d3c0e1c5101d12e0b43,488.7252831675021,13,0
0f5cdcc4b69b1bc534afdb670a111ad5cff52b9f7ec2fc59961ead832b46dedd,5956874bd4e54656f962e60ac70c613069dc8f1274e444c703a72178600ce3c5,642.9731865131737,14,1
0f5cc6ba714d84b702727711d134f77f31cb72bb86c9804c83de731c7e1a4bb7,5956874bd4e54656f962e60ac70c613069dc8f1274e444c703a72178600ce3c5,562.2175282855374,14,0
f544fee4186522dbe3727b759f0b3e50fa46aadb9103c950cd7ab09363e04c77,0f5cc6ba714d84b702727711d134f77f31cb72bb86c9804c83de731c7e1a4bb7,634.8809933358143,15,0
22e2982cd5db55716444f500fce0c95d2730f61e6d7aef47cd76dab32b413074,f544fee4186522dbe3727b759f0b3e50fa46aadb9103c950cd7ab09363e04c77,694.636816191658,16,1
fec9902ce51b9f20e47f984957932788716bc22147b94ffe148ef09f62ad1060,22e2982cd5db55716444f500fce0c95d2730f61e6d7aef47cd76dab32b413074,769.6751915020711,17,1
ccf2718c4fd53360d1d0e2ffe7dc5b4042de58fcd88a9fe53519e78443d125b2,fec9902ce51b9f20e47f984957932788716bc22147b94ffe148ef09f62ad1060,904.0011430063694,18,1
faa4e3a93ef13fce55ed26eb56a647667c22f41527c6ead078338f11277c47ea,fec9902ce51b9f20e47f984957932788716bc22147b94ffe148ef09f62ad1060,804.6051423113271,18,0
6b75e583fa8d91c95476bce19e72d6c726dd2029f3e2ed976bdb25c0218da19e,ccf2718c4fd53360d1d0e2ffe7dc5b4042de58fcd88a9fe53519e78443d125b2,1013.025453442698,19,1
1168a13de07a0f0d3523597311a3747c36c72ef78c08d41327eee779fa00b271,faa4e3a93ef13fce55ed26eb56a647667c22f41527c6ead078338f11277c47ea,861.0921135922523,19,0
0a3f4a07d5746ff23892b4405f0c5cfc5f594a27aaa17894e3436edd222c75e3,6b75e583fa8d91c95476bce19e72d6c726dd2029f3e2ed976bdb25c0218da19e,1129.928783438606,20,1
c3d70d384cba1abda265c5735fcc10fb3aeb0fc818ad30f0dd4e020aae445d22,1168a13de07a0f0d3523597311a3747c36c72ef78c08d41327eee779fa00b271,899.0302399626041,20,0
d1d414ac504d208d9818e2b33f58b884a87341af996f05df0a3cdf7bdc662a8c,0a3f4a07d5746ff23892b4405f0c5cfc5f594a27aaa17894e3436edd222c75e3,1249.0472594228277,21,1
4f88ecfc5ce10469f03af9c5f1f563d877349dbdd1a230c8e3a0c096f8f2c3d1,c3d70d384cba1abda265c5735fcc10fb3aeb0fc818ad30f0dd4e020aae445d22,899.2064900544979,21,0
68ae874ac0c74d057ac4726c79a428def44b3ffabd4c05591eff5cb65276ec6f,d1d414ac504d208d9818e2b33f58b884a87341af996f05df0a3cdf7bdc662a8c,1317.0017272007735,22,1
73c52e968e164b46b8d79bdfb0d542fbf761f5b07fc2fd3cfabd275eae8353cb,4f88ecfc5ce10469f03af9c5f1f563d877349dbdd1a230c8e3a0c096f8f2c3d1,951.4154918836869,22,0
5cd7c2446ae4149387cdd2017760a7d71f4c779a4ac931dda95022029324a6fd,68ae874ac0c74d057ac4726c79a428def44b3ffabd4c05591eff5cb65276ec6f,1395.2260282734826,23,1
