00000000,none,0.0,0,Genesis
961643bd791b9c0cc1dde6c23c17e7510f955d2cec2335a90e3d9b4291e088be,e837ab815226b51b12bb68657a66f13118f7389cf7a46a2c18e07b4b2985ab2b,2285.036934383362,8,49
a391861a88db21d589fe4d2c669ac127888e3fafa419ed6e7a4d84c63759f0bf,f6a861ee842e7982f1b312655c4e8526cd915a44ce7969da1f868ded8637547b,2435.204667302794,9,0
90e2229ba8058277e53a3565c23ca1418d65772683cb810e1693cdd3d5ff6570,64c05bc10eceee088f6638a3a9fa1e7dd9c646d0adcd5ba0aaa77a3b8d2599ce,2470.2787827874245,9,31
438add96dab94c2ed870ac1b0f94067d3f3a2472a5e9b909be7b572a89cac9ed,961643bd791b9c0cc1dde6c23c17e7510f955d2cec2335a90e3d9b4291e088be,2606.5737716450503,9,49
86353c46c774301ea5abd799979d1a0a6fd53c812b57fbaf1b2a47ee4c8b1d68,a391861a88db21d589fe4d2c669ac127888e3fafa419ed6e7a4d84c63759f0bf,2503.1366224241156,10,18
59a6083f2eeb5e7ba0eda1fb9d39b4331ffa79afc768a7cbc91db80dee115554,a391861a88db21d589fe4d2c669ac127888e3fafa419ed6e7a4d84c63759f0bf,2607.6624799169117,10,90
f9a515cbdef007c47e1847ada8e1c021057a5d35ec4648a8886c3f4c8ff9420e,438add96dab94c2ed870ac1b0f94067d3f3a2472a5e9b909be7b572a89cac9ed,2859.238653390346,10,49
12eada8477397a15c5fd488578b20750a1536853ecd3db821185e72d63e49214,86353c46c774301ea5abd799979d1a0a6fd53c812b57fbaf1b2a47ee4c8b1d68,2586.96563120412,11,0
dc5fecfad354f8f5f1800941c27d7e96e4aeb0004c99dbf72df087fe46cbef1f,12eada8477397a15c5fd488578b20750a1536853ecd3db821185e72d63e49214,2833.5859267366786,12,0
79694e218fcd34b69de45269e51806d1f1540bbc9cbc8d78da297efc20e344e0,12eada8477397a15c5fd488578b20750a1536853ecd3db821185e72d63e49214,3124.787594069665,12,49
2cd2eff18fa750a148c001fd66454fee757df5429769cbe8067c5bed010e5a35,dc5fecfad354f8f5f1800941c27d7e96e4aeb0004c99dbf72df087fe46cbef1f,3040.8732240252875,13,90
7abd4fb02eabd1ff79dc69daaf531e05e89e6e1be0b564db7ffc8631e38ef884,dc5fecfad354f8f5f1800941c27d7e96e4aeb0004c99dbf72df087fe46cbef1f,3166.2159699082385,13,79
7eb17359e96daaa547e9aa7de4b0b9b9396f830edbc0c7e26ecfecb7c7e2ab53,dc5fecfad354f8f5f1800941c27d7e96e4aeb0004c99dbf72df087fe46cbef1f,3270.954612419595,13,25
0319384e25455cea308a47d601c639a5f9913fd41ace8a6599b760ec3d866443,dc5fecfad354f8f5f1800941c27d7e96e4aeb0004c99dbf72df087fe46cbef1f,3230.120852016303,13,32
d86a61f881ea59977782cc45a2a4d738cc0e0c8c35753fa8c87ff8ba3258cbba,2cd2eff18fa750a148c001fd66454fee757df5429769cbe8067c5bed010e5a35,3199.0870542726643,14,0
aff1045eb7171575d3c8b52bd4037524cedf9cecd10df679d2b5b6058d1fe8fc,d86a61f881ea59977782cc45a2a4d738cc0e0c8c35753fa8c87ff8ba3258cbba,3432.9786514304005,15,0
461cdc776ef0115cf1ff0fd009b6cdaf273df282975e4c9855e04ff4909859dc,d86a61f881ea59977782cc45a2a4d738cc0e0c8c35753fa8c87ff8ba3258cbba,3802.6713402386617,15,49
c97e1328360b2e31a198442ba4b99e3b5540b0d6016ff4b5689bb4dddf8879dd,aff1045eb7171575d3c8b52bd4037524cedf9cecd10df679d2b5b6058d1fe8fc,3452.8171334241606,16,0
0f59c1885f47a57c7a8c281421af65c3dd59d323b2d451acff669aa8fa92e55f,461cdc776ef0115cf1ff0fd009b6cdaf273df282975e4c9855e04ff4909859dc,3901.0340750908717,16,49
05e7a3aac16178ddd33eda6497078602d7154cf3755bf7d54ee78733682adafc,c97e1328360b2e31a198442ba4b99e3b5540b0d6016ff4b5689bb4dddf8879dd,3646.1534183665012,17,0
896ee195cd0c4b6da6896fe815dbd0f92f8bdb793f78e6cb565d46c065addfde,05e7a3aac16178ddd33eda6497078602d7154cf3755bf7d54ee78733682adafc,3987.4606706196428,18,0
4b26bd75827ad34e4809bc8b07f709f0a7e1fa434934e9e107ca3e3dbe66cf0c,896ee195cd0c4b6da6896fe815dbd0f92f8bdb793f78e6cb565d46c065addfde,4281.069985613608,19,0
955b9d31151760ae9186c6b6ccee56986ca5cabc274f41869139903ea7a98709,896ee195cd0c4b6da6896fe815dbd0f92f8bdb793f78e6cb565d46c065addfde,4559.2520555584315,19,57
1f682c8392a76478c278250b19580237434c4af1cf649d57669940c8294be9ea,896ee195cd0c4b6da6896fe815dbd0f92f8bdb793f78e6cb565d46c065addfde,4648.892167689317,19,49
18e377099b89709efd11c7c3266736748e2ef947a28efd5ed349794195ce1869,4b26bd75827ad34e4809bc8b07f709f0a7e1fa434934e9e107ca3e3dbe66cf0c,4668.630194371012,20,0
3c84631efacbff07bbbf8f71458b9589e6d093584585e6d3cc3afe0eed30d49b,4b26bd75827ad34e4809bc8b07f709f0a7e1fa434934e9e107ca3e3dbe66cf0c,4627.747255864074,20,24
045dd36562c282526c63ecc7168d9b852a12ca7b130456c5cb2391cb49602572,4b26bd75827ad34e4809bc8b07f709f0a7e1fa434934e9e107ca3e3dbe66cf0c,4818.764288427142,20,39
a8fd8411f2de57cbe13628f14064bdf70144d4eef97715c68c4067c368d4853f,18e377099b89709efd11c7c3266736748e2ef947a28efd5ed349794195ce1869,4819.19528149919,21,13
a851506fa1522c4fd9fc686737acdf61a12173ed1708007186eb38ddc5d9b43f,3c84631efacbff07bbbf8f71458b9589e6d093584585e6d3cc3afe0eed30d49b,4881.951866805815,21,22
291259a8bdf90176961e7ac0d919ef1fea61f6ecc87860a510d010d1ecc14454,a8fd8411f2de57cbe13628f14064bdf70144d4eef97715c68c4067c368d4853f,5374.227963227437,22,78
d4b310994fb723eefb738864225e12946f561cedef01a1dff0324f080d9ce2e9,a8fd8411f2de57cbe13628f14064bdf70144d4eef97715c68c4067c368d4853f,5511.879299545703,22,60
ff66877f5e2996eaaa63654af65973352884c5d76712a90a44e08bf96dc769d3,a851506fa1522c4fd9fc686737acdf61a12173ed1708007186eb38ddc5d9b43f,5446.356535584093,22,23
e17285ad61c90831b2f52fc17eb65f371ce71e3b99287276ff649f5c284fed97,a851506fa1522c4fd9fc686737acdf61a12173ed1708007186eb38ddc5d9b43f,5351.372455695362,22,49
2dc84435ef7a9d9b130469aa1d142efcc547c947d2225bfdac5ea114045d1827,291259a8bdf90176961e7ac0d919ef1fea61f6ecc87860a510d010d1ecc14454,5420.87385363,23,0
af6c542bf5eca4100e8a7256a53e41b29ee9b034f9edbf5decb0486902527b0f,e17285ad61c90831b2f52fc17eb65f371ce71e3b99287276ff649f5c284fed97,5525.406742063848,23,38
